电影名,上映年份,上映日期,电影类型,电影评分,宣传语,电影导演,电影演员,电影时长
奇幻变身大冒险,2026,2026-05-01,"冒险,动画,家庭,奇幻",90,Transform your destiny.,内森·格雷诺,Christian Magalhaes,102
肖申克的救赎,1994,1995-10-26,"剧情,犯罪",87,恐惧会将你囚禁，希望则能让你获得自由。,弗兰克·德拉邦特,斯蒂芬·金,142
教父,1972,1980-01-24,"剧情,犯罪",87,一份你无法拒绝的邀约。,弗朗西斯·科波拉,马里奥·普佐,175
挽救计划,2026,2026-03-19,"科幻,冒险",86,信念是暗夜唯一的光,菲尔·洛德,克里斯托弗·米勒,157
教父2,1974,1974-12-20,"剧情,犯罪",86,柯里昂帝国的兴衰史。,弗朗西斯·科波拉,马里奥·普佐,200
辛德勒的名单,1993,1994-03-17,"剧情,历史,战争",86,谁拯救了一条生命，谁就拯救了整个世界。,史蒂文·斯皮尔伯格,托马斯·肯尼利,195
十二怒汉,1957,1957-04-10,剧情,86,命悬其手，死视其意,雷金纳德·罗斯,西德尼·吕美特,96
幸运有八只触手,2026,2026-05-08,"剧情,悬疑",85,Brighter together.,奥利维亚·纽曼,约翰·惠廷顿,114
千与千寻,2001,2001-12-13,"动画,家庭,奇幻",85,隧道的另一头，是不可思议的小镇。,宫崎骏,,125
蝙蝠侠：黑暗骑士,2008,2008-07-17,"动作,犯罪,惊悚",85,黎明前的夜是最黑暗的！,克里斯托弗·诺兰,鲍勃·凯恩,152
勇夺芳心,1995,1995-10-20,"喜剧,剧情,爱情",85,"Come… fall In love, all over again…",Aditya Chopra,,190
绿里奇迹,1999,2000-03-09,"奇幻,剧情,犯罪",85,保罗·埃奇康姆从不相信奇迹。直到他遇见奇迹的那一天。,弗兰克·德拉邦特,斯蒂芬·金,189
指环王3：王者无敌,2003,2003-12-18,"冒险,奇幻,动作",85,敌人的邪眼在移动！,彼得·杰克逊,J.R.R.托尔金,263
Selena Gomez: My Mind & Me,2022,2022-11-04,"纪录,音乐",85,"Every breath, a breakthrough.",阿莱克·凯西西恩,Paul Marchand,95
寄生虫,2019,2019-06-20,"喜剧,惊悚,剧情",85,表现得好像这个地方是你的似的。,奉俊昊,韩进元,132
要不要做我儿子？,2023,2023-09-21,"喜剧,爱情",85,简介,Ihtzi Hurtado,,140
低俗小说,1994,1995-03-23,"惊悚,犯罪,喜剧",85,仅仅因为你是一个角色并不意味着你有角色。,昆汀·塔伦蒂诺,罗杰·阿瓦里,154
你的名字。,2016,2016-11-11,"动画,爱情,剧情",85,我正在寻觅未曾相识的你。,新海诚,,106
星际穿越,2014,2014-11-06,"冒险,剧情,科幻",85,人类的下一步将迈向非凡！,克里斯托弗·诺兰,乔纳森·诺兰,169
黄金三镖客,1966,1968-06-13,西部,85,对这三人来说内战不是地狱，是天堂。,赛尔乔·莱昂内,卢西亚诺·文森佐尼,161
阿甘正传,1994,1994-12-15,"喜剧,剧情,爱情",85,人生就像一盒巧克力，你永远不知道下一块会是什么味道,罗伯特·泽米吉斯,温斯顿·格鲁姆,142
好家伙,1990,1990-11-01,"剧情,犯罪",85,在黑手党中度过的三十年人生。,马丁·斯科塞斯,尼古拉斯·皮莱吉,145
七武士,1954,1954-04-26,"动作,剧情",85,在悬念和场面方面无与伦比！,黑泽明,桥本忍,207
萤火虫之墓,1988,1988-04-16,"动画,剧情,战争",84,为何萤火虫的生命如此短暂？,高畑勋,,89
美丽人生,1997,1997-12-20,"喜剧,剧情",84,最美丽的谎言。,罗伯托·贝尼尼,文森佐·塞拉米,116
